연번,시설명,시설종류,시설유형,소재지,입소정원,시설운영,설치일자,전화번호,데이터기준일자
163,검단사랑의집 주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로 783, 3층 (불로동, 정모빌딩)",24,개인,2023-05-01,032-568-1312,2026-06-10
164,성문노인복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 고산로40번1길 28 (원당동),16,개인,2017-04-14,032-567-0399,2026-06-10
165,누리주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로 848, 5층 501호 (당하동)",32,개인,2019-08-16,032-565-0166,2026-06-10
166,푸른재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로34번길 47, 101동 101호 (마전동, 현대아파트)",0,개인,2023-02-01,032-567-5279,2026-06-10
167,감사재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 고래울로 31, 2층 (가좌동)",0,개인,2024-10-01,032-582-1577,2026-06-10
168,영트립재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가현로 21, 201호 (마전동, 마전1차풍림아이원아파트 상가동)",0,개인,2026-05-01,,2026-06-10
169,일곱재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 여우재로 106-1, 1층 102호 (가좌동)",0,개인,2024-11-01,032-710-9534,2026-06-10
170,검암노인주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로 498, 401호 (검암동, 서해프라자)",53,개인,2020-04-01,032-568-9191,2026-06-10
171,더홈주야간보호센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 완정로178번길 56-1 (마전동),35,개인,2023-12-01,032-565-3317,2026-06-10
172,보경사랑노인주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로502번길 18, 7층 (마전동, 제일프라자)",40,개인,2020-03-16,032-561-2677,2026-06-10
173,삼성노인주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 신진말로 37-1, 2층 (가좌동)",27,개인,2023-04-01,032-577-5940,2026-06-10
174,아름드리주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로 246, 2층 (심곡동)",31,개인,2023-05-01,032-710-7077,2026-06-10
175,다솔재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로 1039, 101동 1014호 (원당동)",0,개인,2025-04-01,032-710-0893,2026-06-10
176,초원주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청라에메랄드로102번길 26, 5,6층 (청라동)",58,개인,2019-12-03,032-561-8853,2026-06-10
177,다온재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로 136, AB동 108호 (가좌동, 삼영아파트)",0,개인,2021-11-01,032-573-7995,2026-06-10
178,마음모아노인재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원적로95번길 15, 2층 (가좌동)",0,개인,2022-04-01,032-584-8216,2026-06-10
179,가온누리재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 심곡로24번길 7, 101호 (심곡동)",0,개인,2024-02-01,032-466-4198,2026-06-10
180,행복한재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로 842, 2층 209호 (불로동, 월드중앙상가동)",0,개인,2025-10-01,,2026-06-10
181,한가람노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로 198, 5층 (마전동, 노른자빌딩)",38,개인,2025-10-01,032-719-8588,2026-06-10
182,검단엘림주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로 859, 601호 (원당동, 원당메디칼프라자)",61,개인,2026-05-01,032-564-5114,2026-06-10
183,"""A(+)""수정방문간호센터",재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로64번길 4, 303호 (마전동)",0,개인,2025-02-01,032-563-1457,2026-06-10
184,그레이스힐단기보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로623번길 17, 3~5층 (마전동, 동인빌딩)",12,법인,2026-03-01,070-4550-8920,2026-06-10
185,토마토 안심재가센터 검단점,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로165번안길 1, 206호 (왕길동, 이편한프라자)",0,법인,2026-03-01,02-6272-2277,2026-06-10
186,인천바른방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 이음대로 384, 708호 (원당동, 서영아너시티플러스)",0,개인,2024-12-01,032-561-7706,2026-06-10
187,가온방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 고산후로121번안길 35, 402호 (원당동)",0,개인,2024-01-01,032-566-6645,2026-06-10
188,샬롬재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 고래울로 23-14, B01호 (가좌동)",0,개인,2013-06-11,032-573-5560,2026-06-10
189,백세 주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 서달로 20, 2층 (석남동, ss플라자)",41,개인,2021-07-01,032-579-3310,2026-06-10
190,도토리재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로348번길 27, 2층 (가좌동)",0,개인,2024-05-01,032-522-2349,2026-06-10
191,두드림복지용구,재가노인복지시설,재가노인복지시설,"인천광역시 서구 봉오재3로 120, 602호 (가정동)",0,개인,2023-11-01,032-563-3388,2026-06-10
192,남송재가노인복지센타,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원창로 174, 101호 (신현동, 남송프라자)",0,개인,2020-10-01,032-575-7997,2026-06-10
193,행운재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 율도로 74-4, 102호 (석남동)",0,개인,2026-05-01,032-578-8885,2026-06-10
194,정 재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로223번길 28, 2층 206호 (석남동)",0,개인,2024-10-01,032-719-4950,2026-06-10
195,솔잎재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 봉오대로318번길 16, 제16동 상가106호 (가정동)",0,개인,2025-10-01,032-564-0688,2026-06-10
196,인천다손방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로 677, 310호 (마전동)",0,개인,2025-11-01,,2026-06-10
197,행복나눔노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 이화로 27, 101호 (경서동)",0,개인,2020-03-16,032-565-4123,2026-06-10
198,한가족방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로768번길 10, 306호 (불로동, 창성프라자)",0,개인,2026-04-01,032-564-5561,2026-06-10
199,성진재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로 244, 610호 (심곡동, 제스트빌)",0,개인,2026-05-01,032-566-4158,2026-06-10
200,대현케어재가센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원창로 196, 2층 (신현동)",0,개인,2024-03-01,032-576-7527,2026-06-10
201,(주)다빈 재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로 127, 4층 402호 (가좌동)",0,법인,2024-07-01,032-572-5532,2026-06-10
202,다온케어복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 신석로77번길 29, 1층 (석남동)",0,개인,2024-01-01,032-582-9117,2026-06-10
203,가영노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로 144, 907호 (마전동)",0,개인,2022-11-01,032-567-4533,2026-06-10
204,참사리재가방문센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 새오개로 32, 1층 (석남동)",0,개인,2025-12-01,032-578-1002,2026-06-10
205,참조은재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 염곡로 309 (석남동),0,개인,2021-01-01,032-573-7752,2026-06-10
206,선영재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 신석로51번안길 19, 2층 (석남동)",0,개인,2021-04-01,032-573-0796,2026-06-10
207,복지콜주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로64번길 12 (마전동, 영남빌딩 2층,3층,5층)",59,개인,2011-05-31,032-565-3129,2026-06-10
208,놀터 주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 탁옥로 37, 601호 (심곡동, 우리타워)",27,개인,2020-01-01,032-569-5633,2026-06-10
209,효랑방문요양간호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청마로167번길 16, 502-1호 (당하동)",0,개인,2026-03-01,032-719-8919,2026-06-10
210,효나눔방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로228번길 12-13, 상가동 2층 203호 (금곡동, 하나아파트)",0,개인,2023-04-01,032-567-2840,2026-06-10
211,사랑드림재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 대평로56번길 32, 2층 204호 (연희동, 우성아파트 상가동)",0,개인,2024-12-01,032-565-7629,2026-06-10
212,사랑방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로 302, 4층 (석남동, 삼정빌딩)",0,개인,2025-06-01,032-715-5200,2026-06-10
213,서구재활주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 탁옥로 104, 2층 (심곡동, 다빈치프라자)",50,개인,2022-07-01,032-563-9988,2026-06-10
214,벧엘 재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 가정로 186-3 (석남동),0,개인,2024-01-23,032-583-9541,2026-06-10
215,늘사랑 주야간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 탁옥로 88, 201호 (심곡동)",31,개인,2024-07-03,032-579-6707,2026-06-10
216,황금들녘재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로294번길 8-1, 1층 (석남동)",0,개인,2023-02-01,032-572-2298,2026-06-10
217,'(A)비지팅엔젤스 인천검단방문요양지점,재가노인복지시설,재가노인복지시설,"인천광역시 서구 봉수대로1440번길 45, 307호 (왕길동, 신명프라자)",0,개인,2021-05-01,032-563-1027,2026-06-10
218,행복한 동행 방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 봉화로 18, 108동 403호 (왕길동, 드림파크어울림 1단지)",0,개인,2023-05-01,032-561-5863,2026-06-10
219,쉼터재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 서곶로255번길 14-15, 1층 106호 (심곡동)",0,개인,2023-08-01,032-569-6663,2026-06-10
220,가족사랑재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 신석로112번길 24 (석남동),0,개인,2025-08-01,,2026-06-10
221,가족사랑재가요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 길주로 79, 305호 (석남동, 성한캣슬)",0,개인,2020-08-01,032-361-2205,2026-06-10
222,가원케어(주),재가노인복지시설,재가노인복지시설,"인천광역시 서구 석남로109번길 3, 1층 (석남동)",0,법인,2020-05-07,032-577-5969,2026-06-10
223,이든노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 봉화로69번길 3, 1층 (오류동)",0,개인,2020-08-01,032-565-8874,2026-06-10
224,가정재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로 387, 101동 502호 (신현동, 루원e-편한세상하늘채아파트)",0,개인,2025-07-01,032-710-5829,2026-06-10
225,햇살재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 염곡로 172, 101호 (석남동, 경남아너스빌 상가동)",0,개인,2024-05-01,032-272-2580,2026-06-10
226,가정방문재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 면개포로10번길 19, 1층 (석남동)",0,개인,2020-12-01,032-572-2369,2026-06-10
227,아리아케어 방문요양 검단아라센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 이음4로 10, 606호 (당하동, 검단신도시KR법조타워2)",0,개인,2025-12-01,,2026-06-10
228,샤론재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로318번길 32-1, 102호 (가좌동)",0,개인,2020-06-01,032-573-5055,2026-06-10
229,해솔케어재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 심곡로 133, 209호 (심곡동, 대동아파트 상가)",0,개인,2026-01-01,,2026-06-10
230,‘(A)비지팅엔젤스 인천서구방문요양지점,재가노인복지시설,재가노인복지시설,"인천광역시 서구 서곶로332번길 2, 102호 (심곡동)",0,개인,2023-10-01,032-716-9553,2026-06-10
231,천사노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로178번안길 10, 1층 (마전동)",0,개인,2019-04-01,032-568-1004,2026-06-10
232,은빛노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 율도로111번길 13, 101동 비01호 (가정동, 인정아트빌)",0,법인,2023-08-01,032-572-4787,2026-06-10
233,희망재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로 244, 411호 (심곡동, 제스트빌)",0,개인,2020-10-01,032-565-0082,2026-06-10
234,상생마을재가복지센터 꿈터,재가노인복지시설,재가노인복지시설,인천광역시 서구 율도로16번길 18 (석남동),0,법인,2024-01-01,032-571-4466,2026-06-10
235,영은효재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 탁옥로 105, 101호 (심곡동)",0,개인,2021-09-01,032-566-0688,2026-06-10
236,검단보람주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청마로7번길 15, 2층 (당하동)",29,개인,2024-05-01,032-569-4666,2026-06-10
237,드림재가방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원적로47번길 6, 201호 (가좌동, 풍림아파트상가)",0,개인,2022-09-01,032-573-9885,2026-06-10
238,예원노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로284번길 15, 2층 205호 (가좌동)",0,개인,2023-09-01,032-573-6788,2026-06-10
239,더사랑노인복지지원센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 고산후로121번길 25, 5층 502-2호 (원당동, 제일프라자)",0,개인,2024-10-01,032-566-4918,2026-06-10
240,참살이재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 서곶로 359-1, 2층 (연희동)",0,개인,2024-01-01,032-564-7001,2026-06-10
241,돌보인방문요양센터 인천서구점,재가노인복지시설,재가노인복지시설,"인천광역시 서구 가정로 451, 906호 (가정동, 벨라미센텀시티)",0,법인,2025-12-01,032-563-9993,2026-06-10
242,가온재가복지센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 거북로84번길 3-3 (석남동),0,개인,2025-12-01,032-561-8610,2026-06-10
243,샘물재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 거북로 106, 2층 3호 (석남동)",0,개인,2020-12-01,032-571-0935,2026-06-10
244,돌봄상민실버케어센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 길주로 79, 511호 (석남동)",0,개인,2025-09-01,,2026-06-10
245,돌봄방문재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로216번길 1, 202호 (심곡동)",0,개인,2024-08-01,032-543-1010,2026-06-10
246,청라성심노인주간보호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 크리스탈로 100, 2층 208~211호 (청라동)",51,개인,2019-06-03,032-567-0179,2026-06-10
247,늘편한방문요양센터,재가노인복지시설,재가노인복지시설,인천광역시 서구 도요지로42번길 21-1 (경서동),0,개인,2026-04-01,032-528-8511,2026-06-10
248,좋은열매재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로685번길 31, A동 205호 (마전동)",0,개인,2025-04-01,032-569-7688,2026-06-10
249,일등재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로178번길 33, 상가동 109호 (마전동, 목화아파트)",0,개인,2024-08-01,032-564-6334,2026-06-10
250,ACE동행방문간호요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 염곡로464번길 30, 917호 (가정동, 벨라미1차)",0,개인,2025-05-01,032-262-2815,2026-06-10
251,당근8899 메디마켓,재가노인복지시설,재가노인복지시설,"인천광역시 서구 봉수대로1440번길 4, 상가동 102호 (왕길동, 검단풍림아이원아파트)",0,개인,2026-03-01,02-6272-2277,2026-06-10
252,굿케어방문요양서비스센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 길주로136번길 19-1, 2층 201호 (석남동)",0,개인,2023-07-01,032-581-3331,2026-06-10
253,동행하는재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로487번길 5, 3층 (마전동)",0,개인,2019-10-28,032-568-2004,2026-06-10
254,해량재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로 515, 406호 (검암동)",0,개인,2022-02-01,032-563-8664,2026-06-10
255,태산의료기복지용구,재가노인복지시설,재가노인복지시설,"인천광역시 서구 석남로 72-3, 1층 (석남동)",0,개인,2026-02-01,032-710-8909,2026-06-10
256,가가요양복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로623번길 9, 3층 301호 (마전동)",0,개인,2019-12-09,032-1877-9975,2026-06-10
257,보살핌방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 봉오대로283번길 6, 상가 101호 (가정동)",0,개인,2025-12-01,032-562-6262,2026-06-10
258,생기나는집,재가노인복지시설,재가노인복지시설,"인천광역시 서구 봉오재3로110번길 7, 507호 (가정동)",0,개인,2025-12-01,,2026-06-10
259,서연방문재활간호 재가요양센터(인천점),재가노인복지시설,재가노인복지시설,"인천광역시 서구 이음대로 384, 713호 (원당동, 서영아너시티플러스)",0,개인,2023-06-01,032-566-2159,2026-06-10
260,태화인천재가노인지원서비스센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 심곡로124번길 10, 3층 (심곡동)",0,법인,2008-05-30,032-568-3206,2026-06-10
261,안나재가방문요양센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 비즈니스로28번길 13, 563동 2903호 (청라동)",0,개인,2025-10-01,,2026-06-10
262,(주)케어마스타재가복지센타,재가노인복지시설,재가노인복지시설,"인천광역시 서구 염곡로 242-1, 3층 (석남동)",0,법인,2025-01-01,032-710-5803,2026-06-10
263,나누리방문간호센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 승학로 403, 2층 (검암동)",0,개인,2024-09-01,032-719-9899,2026-06-10
264,예성재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로 310, 101호 (가좌동)",0,개인,2024-12-01,,2026-06-10
265,코리아 의료기 복지용구,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로249번길 32-4, 1층 (석남동)",0,개인,2024-08-01,070-4647-4784,2026-06-10
266,서인천의료기,재가노인복지시설,재가노인복지시설,"인천광역시 서구 서달로105번길 4, 101호 (석남동)",0,개인,2025-08-01,032-572-3588,2026-06-10
267,해오름재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 염곡로 309, 2층 (석남동, 단양상가)",0,개인,2025-03-01,032-578-3348,2026-06-10
268,에스더손길나눔 재가센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 고산후로78번길 42-1, 102동 502호 (당하동, 포스코빌)",0,개인,2021-08-01,032-566-6377,2026-06-10
269,해든복지용구,재가노인복지시설,재가노인복지시설,"인천광역시 서구 원당대로 843, 602,603호 (원당동)",0,개인,2024-08-01,032-0000-0000,2026-06-10
270,가좌의료기,재가노인복지시설,재가노인복지시설,"인천광역시 서구 장고개로 265, 101호 (가좌동, 가좌동 대미안)",0,개인,2021-04-30,032-583-7771,2026-06-10
271,나눔노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 검단로529번길 9, 1층 2호 (마전동, 이지2차미래지향아파트 2단지)",0,개인,2024-06-01,032-569-9005,2026-06-10
272,검단바로재가복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 완정로8번길 25, 201호 (마전동)",0,개인,2023-03-01,032-563-6327,2026-06-10
273,메디홈케어재가노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 청라에메랄드로 78, 2층 206호 (청라동, 딜라이트타워)",0,개인,2022-08-01,032-569-4900,2026-06-10
274,돌핀투원복지용구,재가노인복지시설,재가노인복지시설,"인천광역시 서구 심곡로 53, 7층 702호 (심곡동)",0,개인,2024-05-01,,2026-06-10
275,새빛 노인복지센터,재가노인복지시설,재가노인복지시설,"인천광역시 서구 건지로 322-1, 1층 (가좌동)",0,개인,2019-09-03,032-574-0110,2026-06-10
